"Story","Title","Result","Date","Stability","Duration (s)"
"Create students data driven test","DataDriven Test for adding multiple students to the Student App.","FAILURE","2017-07-30T12:43:11.471-04:00","0.0","73.49"
"Students CRUD test","Delete the student and verify if the student is deleted!","FAILURE","2017-07-30T12:43:19.339-04:00","0.0","0.36"
"First serenity test","Get all students","FAILURE","2017-07-30T12:43:17.979-04:00","0.0","0.27"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access a resource","FAILURE","2017-07-30T12:43:20.179-04:00","0.0","0.3"
"First serenity test","This isa failing","FAILURE","2017-07-30T12:43:17.019-04:00","0.0","0.54"
"Students CRUD test","This test will create a new student","FAILURE","2017-07-30T12:43:18.394-04:00","0.0","0.25"
"First serenity test","This test will get the information of all the students from the Student App","FAILURE","2017-07-30T12:43:15.393-04:00","0.0","0.86"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","FAILURE","2017-07-30T12:43:19.845-04:00","0.0","0.33"
"Tags test","This test will verify if a status code of 200 is returned for GET request","FAILURE","2017-07-30T12:43:20.481-04:00","0.0","0.3"
"Students CRUD test","Update the user information and verify the updated information!","FAILURE","2017-07-30T12:43:19.044-04:00","0.0","0.29"
"Students CRUD test","Verify if the student was added to the application","FAILURE","2017-07-30T12:43:18.644-04:00","0.0","0.24"
